"Reference ID","Product Name","Sale  Price","POS Category"
"07861021200427","COMINO MD 1.76oz",0.89,"Groceries"
"07861021200472","AJI SECO 1.76oz",0.79,"Groceries"
"07861021201158","ALIÑ CMPLET 35.3",4.99,"Groceries"
"07861021206009","CHIMICHURRI 19.4",2.49,"Groceries"
"07861021206054","ALINO CPLT 17.6z",3.49,"Groceries"
"07861021208133","MANZANILLA 1.3oz",2.5,"Groceries"
"07861024300179","CF CUBANIT 14.1z",8.99,"Groceries"
"07861025300376","TPKINUA FS 14.1z",3.29,"Groceries"
"07861025522242","HRNA/TRIGO YA 1k",4.49,"Groceries"
"07861025522303","HRIN/TRIGO YA ½k",2.49,"Groceries"
"07861029300006","MAIZABROSA 1000g",3.99,"Groceries"
"07861035520023","AVENA MLIDA 500g",2.69,"Groceries"
"07861035520054","Q LEGITIMA 17.6z",2.29,"Groceries"
"07861035520078","Q LEGITIMA 1000g",4.29,"Groceries"
"07861048690225","LF ACHIOTE 16.9z",3.79,"Groceries"
"07861048690898","LF ACEIT VGTL 1t",4.99,"Groceries"
"07861049300345","PANELA VALDZ 34z",3.99,"Groceries"
"07861052002021","QUINUAVENA 14.1z",1.29,"Groceries"
"07861052002045","SOYAVENA MAX 14z",1.29,"Groceries"
"07861055900713","NUTRI AVENA 1L",1.99,"Groceries"
"07861055900836","NUTRI AVENA 6.7z",0.79,"Groceries"
"07861091155696","NSTL VAINLL 400g",1.69,"Groceries"
"07861091155757","NTL ZOOLGIA 400g",2.99,"Groceries"
"07861091158017","AMR CLASICA 175g",1.99,"Groceries"
"07861091158024","AMR CHOCOLT 175g",1.99,"Groceries"
"07861091158031","AMR VAINILL 175g",1.99,"Groceries"
"07861091158741","TNGO MINI V 300g",3.99,"Groceries"
"07861091158789","TNGO MINI C 300g",4.49,"Groceries"
"07861091196774","NSTL COCO C 412g",3.99,"Groceries"
"07861091199898","NESTLE SAL 380g ",2.99,"Groceries"
"07861111200016","TP MANZANA 7.05z",1.89,"Groceries"
"07861111200115","TP FRESA 7.05oz",1.89,"Groceries"
"07861111200139","TP PINA 7.05oz",1.89,"Groceries"
"07861111200146","TP NARANJA 7.05z",1.89,"Groceries"
"07861111200177","TP MORA 7.05oz",1.89,"Groceries"
"07861111200184","TP MANGO 7.05oz",1.89,"Groceries"
"07861111200191","TP FRESA 14.1z",3.79,"Groceries"
"07861111200207","TP MANZANA 14.1z",3.79,"Groceries"
"07861111200221","TP PIÑA 14.1z ",3.79,"Groceries"
"07861111200238","TP MORA 14.1z",3.79,"Groceries"
"07861111200269","TP VAINILLA 7.05",1.89,"Groceries"
"07862103120190","PCA FIDEOS 14.1z",1.49,"Groceries"
"07862103122552","PCA LAZO I 14.1z",1.49,"Groceries"
"07862103920011","FS TOROJIL 1.oz ",2.49,"Groceries"
"07862103920028","FS VALERIAN 1.oz",2.49,"Groceries"
"07862103920059","FABS  TE ANIS 1z",2.49,"Groceries"
"07862103920066","FF TEA BOLD 1.z",2.49,"Groceries"
"07862103920097","FS ADELGAZNTE 1z",2.99,"Groceries"
"07862103920103","FS PROSTATIC 1.z",2.99,"Groceries"
"07862103920134","FS TE REGULR 1.z",2.99,"Groceries"
"07862103920141","FS MANZANILLA 1z",2.49,"Groceries"
"07862103920363","FS REGUTEROL 1.z",2.99,"Groceries"
"07862103920370","FS TE VALTOR 1z ",2.99,"Groceries"
"07862103921018","FS HIERB LSA 1.z",2.49,"Groceries"
"07862103921100","MANZANLL/MIEL 1z",2.29,"Groceries"
"07862103921124","FS HRCHT/MIEL 1z",2.49,"Groceries"
"07862103921162","FS TE VERD 1.oz ",2.49,"Groceries"
"07862103922411","FS TE VERDE 1z",3.79,"Groceries"
"07862106450317","LU HUEVITOS 8.8z",2.99,"Groceries"
"07862106454568","LU CROQUETS 8.8z",3.99,"Groceries"
"07862106454803","COCOA UNIV 15½oz",2.99,"Groceries"
"07862106455008","LU SURTIDS 14.8z",2.99,"Groceries"
"07862106455541","LA/U MENTA 14.1Z",2.99,"Groceries"
"07862106455558","LU L/MIEL 14¾z",2.99,"Groceries"
"00000078600362","SI CAFE 1.7z",4.49,"Groceries"
"00000078600812","SI CAFE 3.5z",6.99,"Groceries"
"00000078604766","REAL ATUN 2oz",2.69,"Groceries"
"00009800895007","NUTELLA 13oz",3.99,"Groceries"
"00011210000032","TABASC ORGNL 12z",7.69,"Groceries"
"00011210002500","TABASCO BUFAL 5z",4.19,"Groceries"
"00011210006096","TBASCO HABNER 2z",3.39,"Groceries"
"00013000007566","HENZ WHITE V 64z",3.19,"Groceries"
"00013000008129","HENZ APPLE V 16z",1.69,"Groceries"
"00013000008143","HENZ APPLE V 32z",2.59,"Groceries"
"00013000008525","HENZ WHITE V 16z",1.39,"Groceries"
"00013000008549","HENZ WHITE V 32z",1.99,"Groceries"
"00013600001063","SALT IODIZED 1lb",0.99,"Groceries"
"00013600020040","KOSHER SALT 13oz",1.39,"Groceries"
"00013600020057","DC SEA SALT 22z",2.49,"Groceries"
"00013900500013","BELL'S SSNG 1oz",1.99,"Groceries"
"00014800000016","MOTT'S ORGNL 24z",2.69,"Groceries"
"00014800000054","MOTT'S CNNMN 24z",2.69,"Groceries"
"00014800000320","MOTT'S ORGNL 32z",2.79,"Groceries"
"00014800000399","MOTT'S ORGL 1GAL",6.29,"Groceries"
"00014800002256","HP MIXED BR 1GAL",3.39,"Groceries"
"00014800210736","MOTT'S BRRY 6/4z",3.19,"Groceries"
"00014800210781","MOTT'S MNGO 6/4z",3.19,"Groceries"
"00014800319101","MOTT'S O 4/4.23z",1.6,"Groceries"
"00014800319125","MOTT'S F 4/4.23z",1.6,"Groceries"
"00014800582260","REAL LEMON 32oz",2.99,"Groceries"
"00014800646085","HP FRUIT JU 1GAL",3.39,"Groceries"
"00014800646092","HP ORANGE O 1GAL",3.39,"Groceries"
"00014800646986","HP LEMON LM 1GAL",3.39,"Groceries"
"00015000007751","GB APL JUICE 16z",3.49,"Groceries"
"00015000007850","GB A PRUNE J 16z",3.49,"Groceries"
"00015000012120","GB CN&CHKN G 2½z",1.39,"Groceries"
"00015000012144","GB BF&BF GRV 2½z",1.39,"Groceries"
"00015000020712","GB APPLE JCE 1Qt",3.09,"Groceries"
"00015000020781","GB MIXD FRT J 1Q",3.19,"Groceries"
"00015000020842","GB PEAR JUICE 1Q",3.19,"Groceries"
"00015000026028","GB M VEG&CHKN 6z",1.09,"Groceries"
"00015000026042","GB M VEG&BEEF 6z",1.09,"Groceries"
"00015000026080","GB CHKN NOODL 6z",1.09,"Groceries"
"00015000026189","GB S POTATOES 6z",1.09,"Groceries"
"00015000026318","GB APPLES 6oz",1.09,"Groceries"
"00015000026363","GB BNANA STWB 6z",1.09,"Groceries"
"00015000027216","GB PEAR MNO G 6z",1.29,"Groceries"
"00015000045203","GB GRAD PF 1.48z",2.89,"Groceries"
"00015000045227","GB GRAD PF 1.48z",2.89,"Groceries"
"00015000045265","GB GRAD PF 1.48z",2.89,"Groceries"
"00015000071110","GB CARROTS 2/2½z",1.49,"Groceries"
"00015000071165","GB PEAS 2/2½oz",1.49,"Groceries"
"00015000071172","GB SQUASH 2/2½z",1.49,"Groceries"
"00015000071189","GB S pOTAT 2/2½z",1.49,"Groceries"
"00015000071301","GB PEACHES 2/2½z",1.49,"Groceries"
"00015000071318","GB APPLES 2/2½oz",1.49,"Groceries"
"00015000071349","GB PEARS 2/2½oz",1.49,"Groceries"
"00015000071356","GB BANANAS 2/2½z",1.49,"Groceries"
"00015000071363","GB PRUNES 2/2½oz",1.49,"Groceries"
