"Internal Reff","Name","Price","POS Category"
1070070202,"LEAF WHOPPERS                  7 OZ          ",2.69,"Grocery"
1070070216,"LEAF GOOD & PLENTY                           ",2.69,"Grocery"
1070070230,"JOLLY RANCHER ASST                           ",2.69,"Grocery"
1070070238,"JOLLY RANCHER PASSION FRUIT                  ",2.49,"Grocery"
1070070860,"JOLLY RANCHER GUMMI BIG BOX                  ",1.59,"Grocery"
1070080723,"PAYDAY STANDARD BAR                          ",1.39,"Grocery"
1090000015,"REYNOLDS WRAP ALUMINUM FOIL                  ",5.19,"Grocery"
1090000018,"REYNOLDS WRAP GIANT ALUMINUM FOIL            ",11.59,"Grocery"
1090000021,"REYNOLDS WRAP HEAVY DUTY ALUMINUM FOIL       ",5.19,"Grocery"
1090000024,"REYNOLDS WRAP HEAVY DUTY ALUMINUM FOIL       ",4.19,"Grocery"
1090000028,"REYNOLDS WRAP HEAVY DUTY ALUMINUM FOIL       ",7.59,"Grocery"
1090000030,"REYNOLDS EXTRA HEAVY ALUMINUM FOIL           ",5.89,"Grocery"
1090000103,"REYNOLDS WRAPPER FOIL SHEETS                 ",2.79,"Grocery"
1090000114,"REYNOLDS WRAP EASY RELEASE                   ",5.19,"Grocery"
1090000311,"REYNOLDS MINI BAKE CUPS                      ",1.29,"Grocery"
1090000330,"CUT RITE WAX PAPER 11.9""                     ",1.79,"Grocery"
1090000383,"REYNOLDS LARGE FOIL BAKING CUPS              ",1.49,"Grocery"
1090000390,"REYNOLDS FREEZER WRAP 15 INCH                ",2.89,"Grocery"
1090000504,"REYNOLDS SLOW COOKER LINERS                  ",3.19,"Grocery"
1090000510,"REYNOLDS OVEN COOK BROWN/BAG TURKEY          ",2.89,"Grocery"
1090000531,"REYNOLDS OVEN COOKING BAGS 14 X 20           ",3.49,"Grocery"
1090003324,"REYNOLDS SOPHISTICATED BAKING CUPS           ",2.49,"Grocery"
1090003325,"REYNOLDS WHIMSICAL BAKING CUPS               ",2.49,"Grocery"
1090003380,"REYNOLDS PARTY BAKING CUPS                   ",1.49,"Grocery"
1090006387,"REYNOLDS PASTEL BAKING CUPS                  ",0.99,"Grocery"
1090008031,"REYNOLDS WRAP ALUMINUM FOIL                  ",2.29,"Grocery"
1090063336,"REYNOLDS SOPHISTICATED BAKING CUPS           ",2.49,"Grocery"
1090063337,"REYNOLDS WHIMSICAL BAKING CUP                ",2.49,"Grocery"
1090071335,"REYNOLD'S COOKIE BAKING SHEETS               ",4.49,"Grocery"
1090074331,"REYNOLDS PARCHMENT PAPER                     ",4.49,"Grocery"
1101310020,"CITRASOLV CLEANER/DEGREASER ORANGE           ",11.99,"Grocery"
1101312028,"HOMESOLV CITRADISH LQ SOAP ORANGE            ",4.49,"Grocery"
1101312031,"HOMESOLV CITRADISH LQ SOAP MNG/TANG          ",4.49,"Grocery"
