"Internal Reference","DESCRIPTION","PRICE","POS Category"
7433800417,"SABRETT KING SIZE FRANKS",53.4,"Cold Cuts"
7433800416,"SABRETT BUN SIZE FRANK",53.4,"Cold Cuts"
8533107700,"GWALTNY TURK FRANKS",23.56,"Cold Cuts"
8533177740,"GWALTNY TURK FRANKS",13.33,"Cold Cuts"
8533172214,"GWANTLY BEEF BACON",39.5,"Cold Cuts"
8533176060,"GWALTNY TURK BOLOG",19.27,"Cold Cuts"
8533176072,"GWALTNY CHICK BOLOG",22.15,"Cold Cuts"
8533176189,"GWALTNY CHICK FRANKS",24.56,"Cold Cuts"
8533177963,"GWALTNY CHICK FRANKS",20.39,"Cold Cuts"
8533175712,"GWALTNY MEAT FRANKS",20.79,"Cold Cuts"
8533173434,"GWALTNY MEAT FRANKS JUMBO",24.55,"Cold Cuts"
8533177820,"GWALTNY CHICK FRANK 3lb",26.4,"Cold Cuts"
4350058900,"PLUMROSE BACON",101.64,"Cold Cuts"
7024715860,"SPRINGHILL BACON",55.2,"Cold Cuts"
8831391492,"NATHANS CHEESE DOGS",72.4,"Cold Cuts"
8831391499,"NATHAN BEEF FRANKS",72.4,"Cold Cuts"
8831391715,"NATHAN COCKTAIL FRANKS",72.4,"Cold Cuts"
8831391490,"NATHAN BIGGER THAN BUN",72.4,"Cold Cuts"
1590006364,"BAR S BEEF BUN FRANKS",28.86,"Cold Cuts"
1590012271,"BAR S TURKY FRANK",10.44,"Cold Cuts"
1590000099,"BAR-S BEEF JUMBO FRANKS",25.56,"Cold Cuts"
1590000211,"BAR-S CLASIC JUMBO FRANKS",20.88,"Cold Cuts"
1590012255,"BAR-S CHICK JUMBO FRANKS",20.88,"Cold Cuts"
1590000042,"BAR-S SL MEAT BOLOGNA",11.47,"Cold Cuts"
1590000060,"BAR-S SL CHICK BOLOGNA",11.47,"Cold Cuts"
2265530311,"BUTERBAL TURKY BOLG",17.78,"Cold Cuts"
2265530301,"BUTERBAL TURKY BACON",25.58,"Cold Cuts"
2265530365,"BUTERBAL TURKY BACON",20.57,"Cold Cuts"
2265529022,"BTRBALL TURK VARIETY",25.58,"Cold Cuts"
1594700002,"STHL MEYER CHICK FRANKS",30.91,"Cold Cuts"
1594700001,"STHL MEYER BEEF FRANKS",67.2,"Cold Cuts"
